"","R1_0","R2_0","C1_0","r1","r2","K1","K2","e11","e12","h11","h12","a11","a12","m1","w11","R1","R2","C1","steady"
"130",1.2905,0.6515,1.4045,1.6025,0.7175,4.469,3.071,0.7516,0.5948,0.5605,0.3625,0.8605,0.6031,0.8605,0.1139,0,0,0,1
"131",1.7375,0.8225,1.5245,0.5435,0.8795,4.259,3.683,0.7916,0.8484,0.2035,0.2555,0.4393,0.3223,0.5383,0.6647,1.79656629376187,0,0.830196930602102,1
"132",1.1165,1.1345,0.7145,1.4825,1.7495,3.641,4.205,0.558,0.6972,0.2385,0.4725,2.6857,3.8791,0.6301,0.2003,0,0.40661735606825,0.71101779623363,1
"133",1.8755,0.9695,0.9905,0.5525,1.8785,4.697,4.529,0.5108,0.7644,0.5485,0.3375,1.1179,2.0929,0.3205,0.6485,0,0,0,1
"134",1.1015,1.0175,1.0955,1.1285,0.9665,4.823,4.661,0.5044,0.8204,0.2755,0.1065,0.1819,0.6655,0.7615,0.3101,0,1.54775064916153,1.07644885596584,1
"135",1.7885,1.3865,1.2425,1.4555,1.5485,2.729,2.321,0.8636,0.8436,0.4855,0.5075,0.6577,1.7575,0.8569,0.5855,2.21196578130877,1.71482458752912,1.29748442078336,1
"136",0.7775,1.4375,1.6205,1.9445,1.3505,4.433,2.795,0.614,0.7244,0.4695,0.1975,0.7981,0.4081,0.5671,0.4001,0,2.26913024049848,0.736494032859358,1
"137",1.1255,1.5725,1.7525,1.0415,0.6725,4.517,3.281,0.8404,0.57,0.3065,0.5795,1.7965,2.0071,0.6265,0.0743,0,3.28100000156373,0,1
"138",1.4825,1.8605,1.2575,1.8845,1.7945,2.789,2.465,0.83,0.8924,0.2325,0.3615,3.5671,1.9915,0.9361,0.3551,2.78900022741229,2.46500012926008,0,1
"139",1.5485,1.4315,0.7565,1.0535,1.3115,2.597,4.955,0.562,0.7988,0.5495,0.4795,1.7653,2.9977,0.5761,0.7907,0,0,1.59142890561451,1
"140",1.7135,1.6565,1.5665,1.2815,0.6845,4.505,3.473,0.7932,0.7372,0.3385,0.3735,0.9073,3.8245,0.3781,0.4397,0,0,1.90849161940138,1
"141",1.8605,0.7565,0.7775,1.9295,1.2875,4.985,4.823,0.7324,0.5628,0.5505,0.5815,1.3597,3.0289,0.6985,0.5981,1.47672363365746,0,2.10258997801429,1
"142",1.4045,0.5015,1.4915,1.9355,0.7565,3.971,4.133,0.8716,0.8052,0.2365,0.2095,2.3191,3.3409,0.6103,0.8825,0,0,0,1
"143",1.6265,0.9035,1.0265,0.8555,1.9025,4.175,2.279,0.8108,0.7956,0.4525,0.1715,0.1351,3.1615,0.8443,0.6665,0,0,0,1
"144",1.4525,1.8335,0.6125,1.4585,0.8225,4.547,2.915,0.8932,0.77,0.5905,0.5455,2.8651,3.9181,0.4537,0.9167,0,2.91500000130935,0,1
"145",0.7205,0.6995,0.9335,1.7435,0.5435,3.347,2.171,0.658,0.578,0.5195,0.2965,3.2239,1.0711,0.2089,0.5909,0,0.377926422176337,0.469390710807703,1
"146",0.9485,0.6935,1.3115,1.7285,1.6655,3.353,3.407,0.6276,0.8268,0.5945,0.2505,2.5297,2.7637,0.3997,0.2903,0.405158197248263,0,0.966748307417072,1
